Overriding config with configs/golem_45m_tierB_gpt2tok.py:
# R2 — ABLACJA TOKENIZERA. Identyczny model i korpus co golem_45m_tierB.py,
# tokenizer GPT-2 (50257). To JEDYNE porownanie, ktore uczciwie mowi,
# czy Twoj tokenizer polski cokolwiek daje.
#
# TEN SAM budzet bajtow (3.0 GB). Poniewaz bpt(gpt2, PL) ~ 2.3, wychodzi
# ~2.3x wiecej iteracji i ~2.3x wiecej FLOPs. To NIE jest blad konfiguracji —
# to jest wynik i nalezy go zaraportowac (rowne dane = wyzszy koszt).
#
#   3.0e9 / 2.3 / 245_760 = 5308  ->  max_iters = 5300   (~2.5 h)
#
# Wieksze logity (50304 vs 32768) -> mniejszy batch, ta sama liczba tok/iter.

out_dir = 'out/r2-tierB-gpt2tok'
eval_interval = 400
eval_iters = 100
log_interval = 10
always_save_checkpoint = False

wandb_log = False
wandb_run_name = 'r2-tierB-gpt2tok'

dataset = 'pl_gpt2tok'           # TEN SAM korpus, ten sam split val, inny tokenizer
batch_size = 12
gradient_accumulation_steps = 20
block_size = 1024

n_layer = 8
n_head = 8
n_embd = 512
dropout = 0.0
bias = False
vocab_size = 50304               # 50257 zaokraglone w gore do wielokrotnosci 64

learning_rate = 1e-3
max_iters = 5830
lr_decay_iters = 5830
min_lr = 1e-4
warmup_iters = 150
weight_decay = 0.1
beta1, beta2 = 0.9, 0.95
grad_clip = 1.0

compile = True
dtype = 'bfloat16'

# WARIANT B (druga os porownania): ustaw max_iters = 2300, zeby wyrownac FLOPs
# zamiast bajtow. Wtedy R2 widzi 2.3x mniej tekstu. Zrob oba i pokaz
# BPB vs bajty ORAZ BPB vs FLOPs — dopiero te dwa wykresy razem sa uczciwe.

Overriding: seed = 1339
Overriding: out_dir = out/r2a-s1339
tokens per iteration will be: 245,760
found vocab_size = 50257, bytes_per_token = 2.066 (inside data/pl_gpt2tok/meta.json)
Initializing a new model from scratch
number of parameters: 50.91M
/home/kasia/golem-projekt/golem/train.py:203: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 34, with 51,421,696 parameters
num non-decayed parameter tensors: 17, with 8,704 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 10.9636, val loss 10.9630
iter 0: loss 10.9520, time 6296.81ms, mfu -100.00%, 0.00 GB
iter 10: loss 9.8007, time 1259.68ms, mfu 22.25%, 0.01 GB
iter 20: loss 8.7327, time 1253.65ms, mfu 22.26%, 0.01 GB
iter 30: loss 7.4341, time 1269.61ms, mfu 22.24%, 0.02 GB
iter 40: loss 6.1487, time 1258.80ms, mfu 22.24%, 0.02 GB
iter 50: loss 5.2908, time 1259.54ms, mfu 22.24%, 0.03 GB
iter 60: loss 4.8212, time 1257.90ms, mfu 22.25%, 0.03 GB
iter 70: loss 4.5755, time 1264.37ms, mfu 22.24%, 0.04 GB
iter 80: loss 4.4770, time 1268.52ms, mfu 22.22%, 0.04 GB
iter 90: loss 4.2567, time 1251.45ms, mfu 22.24%, 0.05 GB
iter 100: loss 4.3804, time 1257.22ms, mfu 22.24%, 0.05 GB
iter 110: loss 4.1964, time 1280.68ms, mfu 22.21%, 0.06 GB
iter 120: loss 4.0374, time 1252.06ms, mfu 22.23%, 0.06 GB
iter 130: loss 4.1384, time 1252.08ms, mfu 22.24%, 0.07 GB
iter 140: loss 4.0042, time 1239.60ms, mfu 22.28%, 0.07 GB
iter 150: loss 3.7502, time 1243.06ms, mfu 22.30%, 0.08 GB
iter 160: loss 3.9235, time 1240.82ms, mfu 22.33%, 0.08 GB
iter 170: loss 3.9219, time 1256.61ms, mfu 22.33%, 0.09 GB
iter 180: loss 3.8839, time 1248.75ms, mfu 22.34%, 0.09 GB
iter 190: loss 3.7031, time 1247.75ms, mfu 22.35%, 0.10 GB
iter 200: loss 4.0666, time 1243.82ms, mfu 22.37%, 0.10 GB
iter 210: loss 3.6944, time 1258.66ms, mfu 22.36%, 0.11 GB
iter 220: loss 3.5383, time 1257.71ms, mfu 22.35%, 0.11 GB
iter 230: loss 4.0380, time 1260.68ms, mfu 22.34%, 0.12 GB
iter 240: loss 3.7737, time 1252.92ms, mfu 22.34%, 0.12 GB
iter 250: loss 3.6390, time 1255.36ms, mfu 22.34%, 0.13 GB
iter 260: loss 3.6087, time 1280.82ms, mfu 22.29%, 0.13 GB
iter 270: loss 3.5111, time 1271.40ms, mfu 22.27%, 0.14 GB
iter 280: loss 3.7322, time 1271.12ms, mfu 22.25%, 0.14 GB
iter 290: loss 3.5381, time 1257.28ms, mfu 22.25%, 0.15 GB
iter 300: loss 3.5308, time 1255.04ms, mfu 22.26%, 0.15 GB
iter 310: loss 3.6478, time 1252.84ms, mfu 22.27%, 0.16 GB
iter 320: loss 3.3600, time 1255.00ms, mfu 22.28%, 0.16 GB
iter 330: loss 3.3275, time 1265.50ms, mfu 22.26%, 0.17 GB
iter 340: loss 3.3247, time 1253.06ms, mfu 22.27%, 0.17 GB
iter 350: loss 3.4221, time 1253.95ms, mfu 22.28%, 0.18 GB
iter 360: loss 3.2487, time 1254.49ms, mfu 22.29%, 0.18 GB
iter 370: loss 3.1107, time 1254.49ms, mfu 22.29%, 0.19 GB
iter 380: loss 3.5355, time 1251.32ms, mfu 22.30%, 0.19 GB
iter 390: loss 3.1415, time 1255.16ms, mfu 22.30%, 0.20 GB
step 400: train loss 3.0619, val loss 3.1030
saving checkpoint to out/r2a-s1339
iter 400: loss 3.0854, time 5554.64ms, mfu 20.58%, 0.20 GB
iter 410: loss 3.2355, time 1282.13ms, mfu 20.71%, 0.21 GB
iter 420: loss 2.5723, time 1264.94ms, mfu 20.85%, 0.21 GB
iter 430: loss 2.9623, time 1259.86ms, mfu 20.99%, 0.22 GB
iter 440: loss 2.7478, time 1252.56ms, mfu 21.13%, 0.22 GB
iter 450: loss 2.8484, time 1254.68ms, mfu 21.25%, 0.23 GB
iter 460: loss 2.9992, time 1259.29ms, mfu 21.35%, 0.23 GB
iter 470: loss 2.9929, time 1256.39ms, mfu 21.45%, 0.24 GB
iter 480: loss 2.6244, time 1255.77ms, mfu 21.53%, 0.24 GB
iter 490: loss 3.0544, time 1254.23ms, mfu 21.61%, 0.25 GB
iter 500: loss 2.8271, time 1258.61ms, mfu 21.68%, 0.25 GB
iter 510: loss 3.0320, time 1254.18ms, mfu 21.75%, 0.26 GB
iter 520: loss 2.8186, time 1251.60ms, mfu 21.81%, 0.26 GB
iter 530: loss 2.9453, time 1252.37ms, mfu 21.87%, 0.27 GB
iter 540: loss 3.0094, time 1251.75ms, mfu 21.92%, 0.27 GB
iter 550: loss 2.6932, time 1256.01ms, mfu 21.96%, 0.28 GB
iter 560: loss 2.8526, time 1250.82ms, mfu 22.00%, 0.28 GB
iter 570: loss 2.7465, time 1253.60ms, mfu 22.04%, 0.29 GB
iter 580: loss 2.5502, time 1252.96ms, mfu 22.07%, 0.29 GB
iter 590: loss 2.5252, time 1256.14ms, mfu 22.09%, 0.30 GB
iter 600: loss 2.6863, time 1256.49ms, mfu 22.12%, 0.30 GB
iter 610: loss 2.6146, time 1253.84ms, mfu 22.14%, 0.31 GB
iter 620: loss 2.6909, time 1255.90ms, mfu 22.16%, 0.31 GB
iter 630: loss 2.5067, time 1252.61ms, mfu 22.18%, 0.32 GB
iter 640: loss 2.4424, time 1253.09ms, mfu 22.20%, 0.32 GB
iter 650: loss 2.4925, time 1251.76ms, mfu 22.22%, 0.33 GB
iter 660: loss 2.8113, time 1253.18ms, mfu 22.23%, 0.34 GB
iter 670: loss 2.5967, time 1254.99ms, mfu 22.24%, 0.34 GB
iter 680: loss 2.5581, time 1257.20ms, mfu 22.25%, 0.35 GB
iter 690: loss 2.6715, time 1251.83ms, mfu 22.26%, 0.35 GB
iter 700: loss 2.4268, time 1256.16ms, mfu 22.26%, 0.36 GB
iter 710: loss 2.6893, time 1255.10ms, mfu 22.27%, 0.36 GB
iter 720: loss 2.2967, time 1257.54ms, mfu 22.27%, 0.37 GB
iter 730: loss 2.5860, time 1254.12ms, mfu 22.28%, 0.37 GB
iter 740: loss 2.4629, time 1254.91ms, mfu 22.28%, 0.38 GB
iter 750: loss 2.4690, time 1272.63ms, mfu 22.26%, 0.38 GB
iter 760: loss 2.5258, time 1262.78ms, mfu 22.25%, 0.39 GB
iter 770: loss 2.4433, time 1269.53ms, mfu 22.23%, 0.39 GB
iter 780: loss 2.4131, time 1260.32ms, mfu 22.23%, 0.40 GB
iter 790: loss 2.2616, time 1257.32ms, mfu 22.24%, 0.40 GB
step 800: train loss 2.4019, val loss 2.4364
saving checkpoint to out/r2a-s1339
iter 800: loss 2.5012, time 5487.86ms, mfu 20.53%, 0.41 GB
iter 810: loss 2.3637, time 1239.45ms, mfu 20.73%, 0.41 GB
iter 820: loss 2.4113, time 1241.08ms, mfu 20.92%, 0.42 GB
iter 830: loss 2.3608, time 1243.31ms, mfu 21.08%, 0.42 GB
iter 840: loss 2.1875, time 1242.22ms, mfu 21.23%, 0.43 GB
iter 850: loss 2.3423, time 1239.92ms, mfu 21.37%, 0.43 GB
iter 860: loss 2.1464, time 1240.15ms, mfu 21.49%, 0.44 GB
iter 870: loss 2.2980, time 1240.08ms, mfu 21.60%, 0.44 GB
iter 880: loss 2.4625, time 1243.79ms, mfu 21.69%, 0.45 GB
iter 890: loss 2.4587, time 1242.63ms, mfu 21.78%, 0.45 GB
iter 900: loss 2.3856, time 1241.07ms, mfu 21.86%, 0.46 GB
iter 910: loss 2.4152, time 1244.23ms, mfu 21.93%, 0.46 GB
iter 920: loss 2.3359, time 1242.69ms, mfu 21.99%, 0.47 GB
iter 930: loss 2.2390, time 1249.51ms, mfu 22.03%, 0.47 GB
iter 940: loss 2.2024, time 1274.07ms, mfu 22.03%, 0.48 GB
iter 950: loss 2.2289, time 1247.98ms, mfu 22.07%, 0.48 GB
iter 960: loss 2.3543, time 1247.10ms, mfu 22.11%, 0.49 GB
iter 970: loss 2.3490, time 1240.05ms, mfu 22.16%, 0.49 GB
iter 980: loss 2.3644, time 1240.38ms, mfu 22.20%, 0.50 GB
iter 990: loss 2.4448, time 1247.14ms, mfu 22.23%, 0.50 GB
iter 1000: loss 2.4943, time 1247.50ms, mfu 22.25%, 0.51 GB
iter 1010: loss 2.4231, time 1239.59ms, mfu 22.29%, 0.51 GB
iter 1020: loss 2.3578, time 1260.40ms, mfu 22.28%, 0.52 GB
iter 1030: loss 2.4968, time 1253.01ms, mfu 22.29%, 0.52 GB
iter 1040: loss 2.3275, time 1254.77ms, mfu 22.30%, 0.53 GB
iter 1050: loss 1.9070, time 1253.77ms, mfu 22.30%, 0.53 GB
iter 1060: loss 2.4482, time 1257.67ms, mfu 22.30%, 0.54 GB
iter 1070: loss 2.4948, time 1253.57ms, mfu 22.30%, 0.54 GB
iter 1080: loss 2.4382, time 1254.49ms, mfu 22.31%, 0.55 GB
iter 1090: loss 2.2871, time 1252.24ms, mfu 22.32%, 0.55 GB
iter 1100: loss 2.2919, time 1255.47ms, mfu 22.32%, 0.56 GB
iter 1110: loss 2.1457, time 1252.76ms, mfu 22.32%, 0.56 GB
iter 1120: loss 2.1196, time 1255.86ms, mfu 22.32%, 0.57 GB
iter 1130: loss 2.2825, time 1253.66ms, mfu 22.32%, 0.57 GB
iter 1140: loss 2.0976, time 1254.92ms, mfu 22.32%, 0.58 GB
iter 1150: loss 2.2238, time 1254.24ms, mfu 22.33%, 0.58 GB
iter 1160: loss 2.2193, time 1253.71ms, mfu 22.33%, 0.59 GB
iter 1170: loss 2.2891, time 1254.62ms, mfu 22.33%, 0.59 GB
iter 1180: loss 2.2097, time 1251.04ms, mfu 22.34%, 0.60 GB
iter 1190: loss 2.2244, time 1254.53ms, mfu 22.34%, 0.60 GB
step 1200: train loss 2.2374, val loss 2.2603
saving checkpoint to out/r2a-s1339
iter 1200: loss 2.0357, time 5424.01ms, mfu 20.62%, 0.61 GB
iter 1210: loss 2.1536, time 1255.31ms, mfu 20.79%, 0.61 GB
iter 1220: loss 2.2717, time 1254.09ms, mfu 20.95%, 0.62 GB
iter 1230: loss 2.4219, time 1253.22ms, mfu 21.09%, 0.62 GB
iter 1240: loss 2.2753, time 1254.48ms, mfu 21.21%, 0.63 GB
iter 1250: loss 2.1714, time 1252.36ms, mfu 21.33%, 0.63 GB
